JW신약,머니투데이,2017.11.06. 오후 2:03,"JW신약, 3분기 매출 200억…전년比 2.1%↓","[머니투데이 신아름 기자] JW신약은 3분기 매출 200억3700만원, 영업이익 9억5600만원, 당기순이익 1억2600만원으로 전년 동기 대비 각각 2.1%, 48.2%, 80.6% 하락했다고 6일 공시했다.

▶네이버로 '머투' 구독하고 치킨·커피 받으세요
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

신아름 기자 peut@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
JW신약,뉴시스,2017.11.06. 오후 2:10,"JW신약, 3분기 영업익 9.5억…전년比 48.2%↓","【서울=뉴시스】정옥주 기자 = JW신약(067290)은 올 3분기 잠정 영업이익이 9억5600만원으로 전년동기 대비 48.2% 감소했다고 6일 공시했다.

같은 기간 매출액은 200억3700만원으로 2.1%, 당기순이익은 1억2600만원으로 80.6% 감소했다.

channa224@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
JW신약,한국경제TV,2017.11.06. 오후 4:23,"JW신약, 3분기 영업익 10억원…전년비 48.2%↓","[한국경제TV 박승원 기자]
JW신약이 주력 품목 교체로 3분기 다소 부진한 실적을 시현했습니다.

6일 JW신약은 별도 기준 올해 3분기 영업이익이 10억원으로 전년동기대비 48.2% 감소한 것으로 잠정 집계됐다고 밝혔습니다. 같은 기간 매출액은 200억원으로 2.1% 줄었고, 당기순이익도 1억원으로 80.6% 감소했습니다.

JW신약 관계자는 ""피부과, 소아과 중심의 항진균제, 항생제 품목을 내과 중심으로 바꾸면서 실적이 전년대비 떨어졌다""며 ""다만, 전분기와 비교하면 실적은 올라가는 추세""라고 설명했습니다.

박승원기자 magun1221@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
JW신약,파이낸셜뉴스,2017.11.14. 오전 10:03,"[fnRASSI]JW신약, 52주 신고가...4.93% ↑","JW신약(067290)은 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 8,930원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 89만 주이다. 이는 60일 일 평균 거래량 36만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.03
3.62
자기자본증가율
-0.08
안정성
부채비율
235.27
5.89
유동비율
142.07
이익안정성
8.06
수익성
ROA
-3.29
3.29
ROE
-11.03
영업이익율
4


JW신약의 퀀트 재무 점수는 12.8점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 감소, 유동비율 증가로 상승했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.



주요 매매주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인 비중이 93.01%로 가장 높았고, 외국인이 5.64%로 그 뒤를 이었다. 기관은 1.33%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 91.68%로 가장 높은 참여율을 보였고, 외국인이 6.52%를 보였으며 기관은 1.79%를 나타냈다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,파이낸셜뉴스,2017.11.14. 오후 2:14,"[fnRASSI]JW신약(067290), 52주 신고가 경신...3.29% ↑","JW신약(067290)은 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 8,800원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 103만 주이다. 이는 60일 일 평균 거래량 37만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.03
3.62
자기자본증가율
-0.08
안정성
부채비율
235.27
5.89
유동비율
142.07
이익안정성
8.06
수익성
ROA
-3.29
3.29
ROE
-11.03
영업이익율
4


JW신약의 퀀트 재무 점수는 12.8점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 감소, 유동비율 증가로 상승했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.



외국인/기관 순매수, 개인은 순매도(한달누적)
11월6일부터 전일까지 기관이 6거래일 연속 동종목을 사들였다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 178,163주를 순매수했고, 기관도 방향성있는 매매를 하면서 174,111주를 순매수했다. 반면 개인들은 매도쪽으로 방향을 잡으면서 352,274주를 순매도한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,파이낸셜뉴스,2017.11.15. 오전 10:58,"[fnRASSI]JW신약(067290), 52주 신고가...3.82% ↑","JW신약(067290)은 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 9,250원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 117만 주이다. 이는 60일 일 평균 거래량 39만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.

상장주식수 대비 거래량은 1.83%로 적정수준
최근 한달간 JW신약의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.83%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 3.88%를 나타내고 있다.

기관투자자 연속 0일 순매도
최근 5일간 동종목의 외국인 투자자는 28,445주 순매수하였고 마찬가지로 기관은 72,238주 순매수하였다. 전날 외국인 11,392주 순매도, 기관72,238주 순매수하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,머니투데이,2017.11.20. 오후 5:43,"JW신약, 29.5억원 규모 전환청구권 행사","[머니투데이 이건희 기자] JW신약은 29.5억원 규모의 무기명식 이권부 무보증 사모 전환사채의 전환청구권을 행사한다고 20일 공시했다. 1주당 전환가액은 6870원이다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이건희 기자 kunheelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
JW신약,아시아경제,2017.11.20. 오후 5:51,"JW신약, 29.5억원 규모 전환청구권 행사","[아시아경제 권재희 기자]JW신약은 29억5000만원 규모의 무기명식 이권부 무보증 사모 전환사채의 전환청구권을 행사한다고 20일 공시했다. 1주당 전환가액은 6870원이다.

권재희 기자 jayful@asiae.co.kr

▶ 양낙규의 '군사이야기'
▶ 아시아경제 카카오톡 친구 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
JW신약,한국경제TV,2017.11.21. 오전 9:49,[국고처 류태형] 종목상담 - JW신약(067290),"[한국경제TV 류장현 PD]
[국고처 류태형] 종목상담 - JW신약(067290)

11월 18일 방송된 `국민주식고충처리반`에 출연한 류태형 파트너가 JW신약(067290)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 `국민주식고충처리반` 매주 토 오전 11시 스마트폰 앱 `주식창`에 시청자 의견 남겨주세요.

류장현 PD jhryu@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
JW신약,매일경제,2017.11.24. 오전 9:31,"""흘러내리지 않는 바르는 탈모약"" JW신약, `로게인폼` 출시","[사진 제공 = JW신약]
JW신약은 최근 한국존슨앤드존슨으로부터 탈모치료외용제 '로제인폼'의 국내 독점 판권을 확보하고 본격적인 마케팅 활동에 돌입했다고 24일 밝혔다.

'로게인폼'은 미녹시딜(5%)이 주요 성분인 바르는 탈모치료제다. 국내 최초의 거품 타입 탈모치료제로 약이 흘러내리지 않고 두피 흡수와 건조가 빨라 사용하기 편한 게 특징이라고 회사 측은 설명했다. 탈모치료제로는 최초로 미국 식품의약국(FDA)의 승인을 받아 현재 세계 시장 탈모치료제 판매 1위를 달리고 있다.

주성분인 미녹시딜은 두피로 가는 혈류를 증가시켜 모낭을 건강하게 만들어주고 모발 생장 주기도 연장해 준다. 다른 탈모치료제에 포함되기도 하는 화학성분 프로필렌 글리콜(PG)을 함유하지 않고 있어 두피 자극이 적다. JW신약은 기존 '모나드', '네오다트' 등 경구용 탈모치료제와 함께 바르는 치료제 로게인폼으로 탈모치료제 라인업을 확장했다.

JW신약 관계자는 ""액상과 겔 형태로 인한 불편함을 해소할 수 있다는 것이 로게인폼의 가장 큰 장점""이라며 ""국산 경구용 탈모치료제 시장을 선도하고 있는 기존 제품과의 시너지를 통해 클리닉 영역에서의 입지를 더욱 강화하겠다""고 말했다.

로게인폼은 일반의약품으로 약국에서 구입할 수 있다.

[디지털뉴스국 한경우 기자]



▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
JW신약,뉴시스,2017.11.24. 오전 9:35,"JW신약, 탈모치료 외용제 '로게인폼' 국내 판권 확보","【서울=뉴시스】류난영 기자 = JW신약이 세계 판매 1위 탈모치료 외용제의 국내 판권을 확보했다.

JW신약은 한국존슨앤드존슨과 탈모치료 외용제 '로게인폼'의 국내 독점 공급 계약을 체결하고 본격적인 마케팅 활동에 돌입했다고 24일 밝혔다.

'로게인폼'은 미녹시딜(5%)을 주 성분으로 하는 바르는 탈모치료제로, 폼(거품) 타입을 적용해 흘러내리지 않는다. 따라서 필요한 부분에만 적정량을 도포할 수 있고 두피 흡수와 건조가 빨라 사용 편의성과 치료 효과가 높은 제품이다.

거품 타입의 탈모 치료 외용제를 국내에 선보이는 것은 이번이 처음이다.

이 제품은 탈모치료제로는 최초로 미국 식품의약국(FDA) 승인을 받았으며, 세계 시장에서 판매 1위를 기록하고 있다.

주 성분인 미녹시딜은 두피로 가는 혈류를 증가시켜 모낭을 건강하게 만들어주고 모발 생장 주기도 연장해 준다.

이 제품은 프로필렌 글리콜(PG)이 들어있지 않아 두피 자극이 적고, 여성 탈모 환자들도 1일 1회 도포로 안전하게 사용할 수 있다는 점이 특징이다.

JW신약은 이번 '로게인폼' 출시에 따라 '모나드', '네오다트' 등 경구용 탈모치료제와 함께 한층 더 확장된 라인업을 확보하게 됐다.

JW신약 관계자는 ""액상과 겔 형태로 인한 불편함을 해소할 수 있다는 것이 로게인폼의 가장 큰 장점""이라며 ""국산 경구용 탈모치료제 시장을 선도하고 있는 기존 제품과의 시너지를 통해 클리닉 영역에서의 입지를 더욱 강화하겠다""고 말했다.

이 제품은 일반의약품으로 약국에서 구입할 수 있다.

you@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
JW신약,뉴스1,2017.11.24. 오전 9:47,"JW신약, 바르는 거품형 탈모약 '로게인폼' 국내 판매","로게인폼 © News1


(서울=뉴스1) 김태환 기자 = JW신약이 존슨앤드존슨의 바르는 거품형 탈모치료제 '로게인폼'을 이달 27일부터 국내 판매한다고 24일 밝혔다.

로게인폼은 두피 혈류 증가에 효과가 있는 미녹시딜 성분을 거품 형태로 두피에 바르는 탈모치료제다.

이 제품은 약국에서 구입 가능한 일반의약품으로 기존 액체 형태의 제품과 달리 필요한 부분에만 약물을 바를 수 있어 사용이 편리하다.

또 두피를 자극하는 프로필렌 글리콜(PG)을 넣지 않아 여성 탈모환자들도 1일 1회 안전하게 사용할 수 있다.

JW신약 관계자는 ""기존 액상과 젤리 형태의 제품 사용 시 불편함을 해소한 것이 로게인폼의 가장 큰 장점""이라며 ""탈모 치료제 시장에서 입지를 더욱 강화하겠다""고 말했다.

kth@

▶ 2018학년도 수능 문재 및 정답 확인!
▶ '평창2018' 관련 뉴스·포토 보기
▶ 네이버메인에 ‘뉴스1채널’ 설정하기!
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
JW신약,머니투데이,2017.11.24. 오전 9:51,"JW신약, 탈모치료 외용제 ‘로게인폼’ 국내 판권 확보","[머니투데이 민승기 기자] [여성 탈모 환자 1일 1회 도포로 사용 편의성 높여]

탈모치료 외용제 로게인폼 제품. /사진제공=JW신약

JW신약이 세계 판매 1위 탈모치료 외용제 국내 판권을 확보했다.

JW신약은 한국존슨앤드존슨과 탈모치료 외용제 ‘로게인폼’ 국내 독점 공급 계약을 체결하고 본격적인 마케팅 활동에 돌입했다고 24일 밝혔다.

‘로게인폼’은 미녹시딜(5%)을 주성분으로 하는 바르는 탈모치료제다. 폼(거품) 타입을 적용해 필요한 부분에만 적정량을 도포할 수 있고 두피 흡수와 건조가 빨라 사용 편의성을 높였다.

이 제품은 탈모치료제로는 최초로 미국 식품의약국(FDA) 승인을 받고 세계 시장에서 판매 1위를 기록하고 있다.

미녹시딜은 두피로 가는 혈류를 증가시켜 모낭을 건강하게 만들어주고 모발 생장 주기도 연장해 준다. 특히 프로필렌 글리콜(PG)이 들어있지 않아 두피 자극이 적고, 여성 탈모 환자들도 1일 1회 도포로 안전하게 사용할 수 있다.

JW신약은 이번 ‘로게인폼’ 출시로 기존 ‘모나드’, ‘네오다트’ 등 경구용 탈모치료제와 함께 한층 더 확장된 라인업을 확보하게 됐다.

JW신약 관계자는 “액상과 겔 형태로 인한 불편함을 해소할 수 있다는 것이 로게인폼의 가장 큰 장점”이라며 “국산 경구용 탈모치료제 시장을 선도하고 있는 기존 제품과 시너지를 통해 클리닉 영역에서의 입지를 더욱 강화하겠다”고 말했다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

민승기 기자 a1382a@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
JW신약,데일리안,2017.11.24. 오전 10:02,"JW신약, 탈모치료 외용제 '로게인폼' 국내 판권 확보","JW신약의 로게인폼. ⓒJW홀딩스

JW신약이 세계 판매 1위 탈모치료 외용제의 국내 판권을 확보했다.

JW신약은 한국존슨앤드존슨과 탈모치료 외용제 ‘로게인폼’의 국내 독점 공급 계약을 체결하고 본격적인 마케팅 활동에 돌입했다고 24일 밝혔다.

‘로게인폼’은 미녹시딜(5%)을 주 성분으로 하는 바르는 탈모치료제로, 폼(거품) 타입을 적용해 흘러내리지 않는다. 이에 따라 필요한 부분에만 적정량을 도포할 수 있고 두피 흡수와 건조가 빨라 사용 편의성과 치료 효과가 높은 제품이다.

거품 타입의 탈모 치료 외용제를 국내에 선보이는 것은 이번이 처음이다. 이 제품은 탈모치료제로는 최초로 미국 식품의약국(FDA) 승인을 받았으며, 세계 시장에서 판매 1위를 기록하고 있다.

주 성분인 미녹시딜은 두피로 가는 혈류를 증가시켜 모낭을 건강하게 만들어주고 모발 생장 주기도 연장해 준다.

이 제품은 프로필렌 글리콜(PG)이 들어있지 않아 두피 자극이 적고, 여성 탈모 환자들도 1일 1회 도포로 안전하게 사용할 수 있다는 점이 특징이다.

JW신약은 이번 ‘로게인폼’ 출시에 따라 ‘모나드’, ‘네오다트’ 등 경구용 탈모치료제와 함께 한층 더 확장된 라인업을 확보하게 됐다.

JW신약 관계자는 “액상과 겔 형태로 인한 불편함을 해소할 수 있다는 것이 로게인폼의 가장 큰 장점”이라며 “국산 경구용 탈모치료제 시장을 선도하고 있는 기존 제품과의 시너지를 통해 클리닉 영역에서의 입지를 더욱 강화하겠다”고 말했다.

이 제품은 일반의약품으로 약국에서 구입할 수 있다.

데일리안 손현진 기자 (sonson@dailian.co.kr)

ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
JW신약,연합뉴스,2017.11.24. 오전 10:05,"JW신약, 거품 탈모약 '로게인폼' 국내 독점 판매","(서울=연합뉴스) 김잔디 기자 = JW신약은 한국존슨앤드존슨과 거품 타입 탈모 치료제 '로게인폼'의 국내 독점 공급 계약을 맺고, 판매에 나선다고 24일 밝혔다.

로게인폼은 탈모 치료 성분 중 하나인 미녹시딜(5%)을 주성분으로 하는 바르는 탈모 치료제다. 거품 타입이어서 두피에 발랐을 때 쉽게 흘러내리지 않는다. 남성뿐 아니라 여성 탈모 환자도 사용할 수 있다.

JW신약 관계자는 ""거품 타입의 탈모 치료제를 국내에 선보이는 것은 이번이 처음""이라며 ""기존에 보유하고 있는 먹는 탈모 치료제와의 시너지를 통해 관련 분야에서 JW신약의 입지를 강화하겠다""고 말했다.

JW신약은 JW중외제약의 지주회사인 JW홀딩스의 자회사다.

(서울=연합뉴스) JW신약 전영철 영업본부장(왼쪽)과 한국존슨앤드존슨 최광용 고객개발부 상무가 탈모치료 외용제 '로게인폼'에 대한 국내 독점 공급 계약을 체결하고 있다. 2017.11.24. [JW신약 제공=연합뉴스]


jandi@yna.co.kr

▶기사제보 및 문의(클릭!)

▶연합뉴스 채널 구독 400분께 스타벅스 커피 쏩니다"
JW신약,서울경제,2017.11.24. 오전 10:19,"JW신약, 세계 판매 1위 탈모치료제 국내 판권 확보","'로게인폼' 국내 독점 공급 계약 체결
국내 최초 거품 적용 … 흡수·건조 빨라 사용 편의성 ↑

[서울경제] JW신약이 세계 판매 1위 탈모치료 외용제의 국내 판권을 확보했다.

회사는 한국존슨앤드존슨과 탈모치료 외용제 ‘로게인폼’의 국내 독점 공급 계약을 체결했다고 24일 밝혔다.

로게인폼은 미녹시딜(5%)을 주 성분으로 하는 바르는 탈모치료제로, 거품 타입을 적용해 흘러내리지 않는 게 특징이다. 필요한 부분에만 적정량을 바를 수 있고 두피 흡수와 건조가 빨라 사용 편의성이 높다. 거품 타입의 탈모 치료 외용제를 국내에 출시된 것은 이번이 처음이다.

프로필렌 글리콜이 들어있지 않아 두피 자극이 적고 여성 탈모 환자들도 1일 1회 도포로 안전하게 사용할 수 있다고 회사 측은 설명했다.

JW신약 관계자는 “액상과 겔 형태로 인한 불편함을 해소할 수 있다는 것이 로게인폼의 가장 큰 장점”이라며 “국산 경구용 탈모치료제 시장을 선도하고 있는 기존 제품과의 시너지를 통해 클리닉 영역에서의 입지를 더욱 강화하겠다”고 말했다.

/김지영기자 jikim@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기▶]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
