,종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
15,글로벌텍스프리,2021.02.01,2.8,3.0,“한국 텍스리펀드 시조새”,텍스리펀드 회사로는 가맹점이 많고 초기부터 경험이 많음,아무래도 여행업계가 가장 큰 관련이 있다보니 코로나 타격이 큼,코로나 끝나거나 여행업이 정상화 되면 경영실적 복구 기대
16,글로벌텍스프리,2020.12.24,2.8,5.0,“괜찮고좋은회사”,좋은사람들많음 다양한일을 해볼수가있다는것이 장점인것같다,연봉이적으며 복지가없다는점이 많이아숩고 업무비즈니스가 복잡하다,
17,글로벌텍스프리,2020.10.17,2.8,3.0,“국내최고의 텍스리펀드회사”,업계1위 상장회사로 해당 직군내 국내에서 가장큰 회사임,코로나로인한 실적악화로 현재 회사운영이 매우 어려운 상태임,다른회사 취업으로인해서 (개인사정으로인해) 이직을 하게됨
18,글로벌텍스프리,2020.10.07,2.8,2.0,“워리벨만 보장됨”,"워라벨만 보장됨
월급 안밀림
업무쉬움
일반평직원들은 착함","연봉.복지.상사 등 다 별볼일 없음
코로나로 인한 연봉 삭감
임원만 출근함(돈받기 위한 목적)",
19,동운아나텍,2022.06.01,3.1,2.0,"“(개발직무제외)워라벨o,성장x”","워라벨 무난, 업무강도 무난,
중소기업치고 무난한 연봉","회사 비전
고인 상사
복지 경직(코로나때 재택 없다시피한 고집)",
20,동운아나텍,2022.09.04,3.1,1.0,“비슷한 급에서 최고”,"비슷한 급에서는 최고의 중소기업
중소기업에 비해 좋은 복지 월급 사람","모든 직군으로 비교시 낮은 임금 복지 사람 인맥풀
야근을 해도 안하도 아무런 의미없다",
21,동운아나텍,2022.03.26,3.1,4.0,“대체적으로 좋은사람들과 워라벨 괜찮음”,"업계에선 나름 인지도 있음
워라벨과 사람들 대체로 괜찮음",고인물이 너무 많음 … 일 안하는 차부장들 천지 … 젊은 직원들이 최근 많이 유입되지만 아직 부족함,
22,동운아나텍,2022.03.23,3.1,3.0,“워라벨은 좋은편이나.. 그외는..”,"워라벨
출퇴근이나 연차는 그닥 눈치 보긴보는데 많이 보진않음","경영진들이 진짜 구닥다리 생각만한다..
당장의 매출에만 급급하고 회사의 미래는 진짜 아무도 생각안한다 대표님도 ....",
23,동운아나텍,2022.03.04,3.1,4.0,“괜찮은 중소기업”,"생각보다 괜찮은 급여.
예전과 다르게 야근강요 없고 주말은 휴식이 보장됩니다",시스템부족 및 일부 keyman에 의해 돌아가는것 같네요,
24,동운아나텍,2022.02.08,3.1,4.0,“워라밸이 좋은 회사”,"휴가사용 및 정시퇴근에 눈치를 주지 않음
적극적으로 일을 하고자 하면 밀어주는 분위기
정부 권고 사항은 지키려고 노력함","윗선에서 보여주기 식 업무가 자주 내려옴
타 팀간 의사소통이 안되는 경우가 많음",
25,동운아나텍,2022.01.07,3.1,3.0,“좋은건가 나쁜건가”,"워라벨이 잘 지켜짐
보장된다기 보다 칼퇴하는 분위기
야근하는 소수 부서만 야근하고 다들 칼퇴","고인물 텃세
정이 많다고 하는데 그건 오래된 사람들끼리 나눈 정이지 새로운 사람은 개인주의화 되는 느낌이 강함
새로운 사람들의 목소리는 안들음
그래서 신규입사자만 무한 퇴사 입사 반복한다고 함",
26,동운아나텍,2021.11.08,3.1,2.0,“호수에 떠있는 백조의 모습”,예전과 다르게 야근 강요별 로없고 월급도 상대적으로 나쁘지 않은편,"마치 호수의 백조를 보는 모습
물장구 치는 아랫사람과 고고해 보이는 상사의 콜라보레이션",
27,동운아나텍,2021.09.02,3.1,4.0,“워라밸은 괜찮은듯”,"나름 다닐만함 사람들도 괜찮았음
서울에 위치
탄력근무제",인원은 적은데 할일이 많아서 정신이 없을 때가 많았었음,
28,동운아나텍,2021.08.10,3.1,4.0,“워라벨하나 보고오면 좋음”,"워라벨이 좋습니다. 맘먹으면 5시 퇴근가능
밥 아침 점심 줌
맛있음","일의 체계가 이상함
부서가 질서정연하지 않음
월급이 많지는 않음",
29,동운아나텍,2021.08.07,3.1,2.0,“그냥저냥 다닐만 한 회사”,복장도 자유롭고 생활도 자유로운 편입니다. 많이 눈치보면서 다니지 않아도 됩니다.,그냥저냥 다닐만 한 정도.. 지속적으로 발전할 수 있을지는 모르겠음...,
30,동운아나텍,2021.07.27,3.1,4.0,“편안한 회사.”,"1.편안한 분위기
2.무난한 급여
3.가족적인 분위기
4.발전 가능성","1.일도 너무 편하게해서 문제.
2.경영진의 소통부재
3.새로운 아이템의 필요",
31,동운아나텍,2021.06.29,3.1,3.0,“워라벨은 있는 회사”,중소기업치고 괜찮은 연봉수준과 복지 그리고 저녁이 있는 삶,고인물이 너무 많고 아는게 많은 것 보다 오래다니고 야근 하는게 장땡인 회사,
32,동운아나텍,2021.05.27,3.1,4.0,“경쟁력있는 회사”,"워라벨 좋음, 급여상승률 좋음, 사람이들이 좋음 베리굿
복지도 나름 굿","점심 식대가 없음, 주변에
밥 먹을때가 별로 없음
그냥 저냥 좋음",
33,동운아나텍,2021.05.25,3.1,2.0,“그냥 저냥 다니기 좋은회사”,"일이 없을 때는 프리하게 냅둔다
나쁜 말로 하면 하는 업무만 하게됨",컨트롤 타워가 없어 여기저기 중구난방 그때그때 대처하기만 바쁘다,
34,동운아나텍,2021.05.13,3.1,3.0,“비교적 쉬운 일을 하는 회사”,팀원들과 편하고 자연스러운 소통이 가능하고 시간 관리하기 편한회사,다른 팀원들과 소통이 비교적 어려운 부분이 크고 적은 월급,
35,동운아나텍,2021.04.11,3.1,4.0,“발전하기시른데 돈은 적당히 벌고 싶으면 다니기 좋은 회사”,중소기업치고 연봉 및 복지가 좋은거 같음 쉬엄 쉬엄 일해도 돈 벌수 있는것 같음,발전적으로 도전하는 직원은 몇 없는거 같으며 흘러가는 대로 회사가 가는것 같음 퇴사하려 할때 이 회사를 다니면서 내가 성장한게 무엇일까 고민하게 만듦,
36,동운아나텍,2021.04.01,3.1,3.0,“위가 편한 회사”,"팀원들 외 업무하는데 크게 방해하는 사람 없음.
성과만 나면 인정받는다.","눈치성 야근.
일을 잘하는 사람에게 업무가 몰림.
돌아가면서 상을 받음. 상이 무의미함.",
37,동운아나텍,2021.03.19,3.1,3.0,“무난한 회사생활하기 좋은 곳”,윗분들 보면 물 흐르듯이 튀지 말고 버티면 오래가는 곳 인듯...,"점심비가 짜다!
한달 점심 그돈으로 뭐 먹나....
지하식당 밥이 맛이 없다 ㅠㅠ",
38,동운아나텍,2021.03.11,3.1,5.0,“중소기업 치곤 괜찮은 것 같기도..”,"능력에 따라 워라벨은 좋은 편.
but 일 못하면... 야근은 좀..있음
대체적으로 수평적인 관계","동일 업종에서 연봉이 높은지는 모르겠음
기본적인 회사 문화가 고리타분함",
39,동운아나텍,2021.02.25,3.1,1.0,“미래가 보이지 않는 회사”,"다른 회사에 비해 몸이 편한 회사이므로, 비교적 편하게 다닐 수 있습니다.","1. 극단적인 역피라미드
- 실무자 직급 및 신입은 잘 뽑지 않습니다. 중간관리자 이상 또는 임원을 많이 뽑기때문에 역피라미드식 조직구조를 가지고 있습니다.

2. 능력있는 윗사람의 부재
- 윗사람들이 그냥 오래다녀서/줄을 잘타서 올라갔기때문에 일을 제대로 배울수 없습니다.

3. 복지가 없음
- 명목상으로만 있고 실제로 사용하지 못하는 복지들이 많습니다. 직원들에 돈쓰는것을 아까워하고 생각하는 스케일이 작습니다. 인센티브도 사실상 없다고 봐야합니다.

4. 꼰대문화
- 요즘도 이런회사가 있나 싶을 정도의 군대식 꼰대문화가 강합니다.

5. 변화를 싫어하는 분위기
- 문제를 인식함에도 불구하고 '원래 이랬다'라는 마인드가 뿌리깊게 박혀있는 회사입니다.

6. 답이 정해져있는 보고문화
- 현 상황과 무관히게 대표 입맛에 맞는 보고를 해야합니다.",
40,동운아나텍,2021.01.12,3.1,3.0,“그냥그냥 다니는회사”,열심히 하는사람은 인정 받을 수 있다. 버티고 버텨 보아라,전체적으로 맨파워 부족~ 다들 능력은 가지고 있지만 top 때문에 날개를 펴지 못하는듯,
41,동운아나텍,2020.11.22,3.1,3.0,“'생각보다' 괜찮은 회사”,"잡플 평점보고 식겁했지만 그것보다는 낫습니다. 제가 있는 팀은 야근 밥먹듯 하는 곳이지만 한 두 부서를 제외하고는 다들 출퇴근하는데 압박받는 모습은 없으신 듯 합니다.

타 팹리스와 비교해서 높지도 낮지도 않는 연봉으로 이직 준비하며 일 배우기엔 좋을 거 같다고 생각합니다.","제가 속한 부서 기준으로는 워라밸이란 없습니다. 개발부서는 프리한 것으로 알고 있지만...

그리고 가장 중요한 것은 사장님의 파워가 매우 세다는 것입니다.
임원분들도 분명한 의견이 있으셔도 사장님의 심기에 거슬리지 않게 이야기하시는 모습을 볼 수 있었습니다.

좋은 방향은 아니라고 생각합니다.",
42,동운아나텍,2020.09.16,3.1,3.0,“워라밸은 좋음”,일이 안빡셈 칼퇴 가능 출퇴근 시간에 맞춰 퇴근 가능 연차쓰는 것 자유로움,"어디든 고인물이 문제, 그리고 업계에 대해 모르는 사람이 너무 많음.개인 발전없음",
43,바이오솔루션,2022.08.06,2.6,1.0,“추천하고싶지 않은 회사”,"서울에 있음, 월급 제때 주는건 당연한거라 장점도 아님
칼퇴 가능, 연차 사용 자유로움 (but, 부바부라서 눈치주는 팀장 있음)
2층에 맛없는 구내식당 있고 1층에 카페 있음
사무실에 커피머신있고, 커피캡슐 + 간식들 요즘 많이 지원해주고 있음","회사가 역에서 멀어요..
경영진들의 마인드가 구시대적임.. 주먹구구식..
복지도 제대로 갖춰있지 않음 (복지포인트 - 생일때 10만, 명절때 5만)
연봉에 상여금, 식대, 야근수당 등.. 다 포함되어있고 연봉 많이 주는척ㅋㅋㅋㅋ 퇴사하면 나머지 상여금 못받음.. 할많하않..
직원들을 소모품 취급, 몇몇 팀장님들 리더쉽 교육 필요,
팀장이면 책임감을 가지고 일하세요. 팀원들한테 책임 떠넘기지 마세요. 팀장이 데이터 해석도 못하고 이해도 못하는게 말이됨?
휴게실 없음, 서울테크노파크 지하주차장 있지만 이용 못함, 야외 주차장만 이용 가능 (협소함)",
44,바이오솔루션,2022.06.21,2.6,2.0,“본가에서 다닌다면 적당히 다니기 괜찮은 회사”,서울에있음. 특정 경우를 제외하고 공식적인 야근없음. 사내정치 없는편.,자가세포치료제의 경우 언제 야근이 발생할지 알수 없음. 급작스럽게 스케쥴이 잡힘. 평일야근수당 없음. 주말 8시간까지만 수당지급함. 이후시간 무급.,
45,바이오솔루션,2022.05.30,2.6,3.0,“큰 실험실같은 회사”,"워라밸이 잘 맞춰짐
연차 자유롭게 쓸수 있음
인원들끼리 잘 지냄","바뀌지않는 답답한 절차
법적 테두리에 절대 넘치지 않는 복지
상장회사에 비해 실망스러운 복지와 체계",
46,바이오솔루션,2022.03.30,2.6,3.0,“빡시게 일하다 와서 자리잡기에는 나쁘지 않겠지만 아직 회사의 시스템이 미비하여 초년차는 힘들 것”,"시스템이 없어서 편하다
제품 개발을 잘한다
과기대에 위치해서 그런가 학교에 다니는 느낌","시스템이 없어서 자기가 알아서 일해야 한다
경영진에 의존도가 매우 높다",
47,바이오솔루션,2022.03.28,2.6,5.0,“워라벨 보장”,"워라벨 보장됨
실력향상
친절한 팀원
인생 몇안되는 좋은 선택이였음","없음
난 없는데 다른 리뷰적은사람들은 왜이렇게 부정적인지 모르겠음",
48,바이오솔루션,2022.03.15,2.6,3.0,“칼퇴만이 장점”,"야근없이 칼퇴 가능
졸업 후 첫 회사로 경력 쌓기는 좋음","칼퇴만이 장점
업계에 소문난 조그만 연봉
복지가 뭔가요
경영진은 뭘 하는지 모르겠음",
49,바이오솔루션,2022.02.27,2.6,3.0,“유일무이한 장점과 다양한 단점이 있는 회사”,"하나뿐인 복지이자 장점인 정시 출퇴근
장점을 더 찾아볼려고 해도 정말 하나도 없다
시설도 경영도 복지도 그 무엇도 없다","위치 교통이 가장 불편함
코에 걸면 코걸이 귀에 걸면 귀걸이
경영 임원진의 그 때 순간의 판단으로
직원들의 복지 연봉 경력이 다 달라짐
체계와 기준이 없음 그래서 손해보는 직원들이 생김",
50,바이오솔루션,2022.02.26,2.6,1.0,“워라벨만 보장되는 회사”,워라벨이 괜찮습니다. 정시출근 정시 퇴근하고 야근이 거의 없습니다.,"일단 연봉이나 복지는 워낙 유명해서 굳이 말 안해도 될것 같고, 팀 분위기도 최악임.",
51,바이오솔루션,2022.02.15,2.6,2.0,“워라벨만 있음”,"정시출근 정시퇴근 가능
당일 오전 연차 가능
직원들끼리는 경쟁없이 편하게 업무 가능","연봉 수준이 정말 최악임
복지도 없는 수준
경영진 및 부장급들 고인물이라 발전가능성 그닥..",
52,바이오솔루션,2022.02.11,2.6,3.0,“정시출퇴근가능한 회사”,"9시 출근 6시 퇴근이 가능하다
워라벨 가능
꼰대 비교적 적음","쪼잔한 경영진
직원에 대한 배려가 없음
복지가 거의 없음",
53,바이오솔루션,2022.02.08,2.6,2.0,"“직원분들 다 좋음, 연봉과 복지는,,,,,”","워라벨은 보장되고 사내 직원분들 거의 다 좋다
팀장님도 부서마다 다르지만 일에 있어 알려주시는 부분도 많고 배울 점도 많음","연봉 너무 낮고, 인상률도 낮음
사내 복지 아예 없음",
54,바이오솔루션,2022.01.23,2.6,3.0,“워라밸보장 가능”,모두 다같이 칼퇴근하는 분위기여서 칼퇴에 부담이 없는편,"연봉, 복지가 부족한 편
경영진이 인건비에 인색한 편임",
55,바이오솔루션,2022.01.18,2.6,2.0,“워라벨만 확실함”,회식 적음. 칼퇴가능. 어린이집 바로앞. 평화로운 대학교 안,체계 부족. 잔업 많음. 연봉 통보. 회사내 큰 일정 및 계획 비공유.,
56,바이오솔루션,2022.01.11,2.6,1.0,“워라벨만 보장되는 회사”,장점은 9시출근 6시 퇴근. 하지만 일이있다면 야근해야함,너무너무 적은 연봉….능력없는 상사…..한시간에 몇번이나 담배피러 나감…직원들은 바빠죽겠는데 자리에서 핸드폰 게임함….이 글을본다면 반성하시길…뭐 지능이 낮고 자기 객관화가 안되어있어 본인 얘기 하는지도 모를듯하지만…,타 회사보다 천만원정도 적은 연봉과 꼰대같은 경영진… 사람귀한줄 모름…
57,바이오솔루션,2021.12.16,2.6,4.0,“워라밸 보장이 최대 장점”,"워라밸이 보장되는 회사, 칼퇴이며 연차도 눈치 안보면서 쓰는 편",회사 전체에 대한 만족도는 매우 높았으나 팀 내의 분위기로 인해 퇴사,특정인과의 마찰로 이직 결심 했으나 타회사 재직 중인 지금 워라밸 보장이 정말 최고였음을 실감중
58,바이오솔루션,2021.09.12,2.6,3.0,“워라벨만은 최고”,워라벨만은 확실하게 보장이 되는 회사. 야근 강요 없고 서울에 위치함.,연봉이 너무 적고 복지가 없다. 발전할 가능성이 안보임,
59,바이오솔루션,2021.07.12,2.6,2.0,“워라벨만 보장되는 회사”,"강압적인 분위기는 적어도 없다는 점
그리고 칼퇴가 가능하다는점","적은 급여
경영진의 독단적인 행동
오너가 그릇이 작은게 제일 문제",
60,바이오솔루션,2021.06.02,2.6,3.0,“워라벨 굿”,좋은 팀원들을 만남/ 실적 압박 없음 / 교내에 있어서 편한점이 많음,"멍청한 상사 때문에 하루면 끝날일을 일주동안 해야함
한놈이 물 흐리는중/ 상사에게 배울점이 없음 (물론 부바부)",
61,바이오솔루션,2021.01.19,2.6,2.0,“워라밸 굿 연봉 복지 썩음”,워라밸 좋고 같이 일하는 사람들 좋음. 도전의식 별로 없고 안정적인것만 추구하는사람들한테 다니기 좋은회사,"경영팀 독단적행동, 다른 본부를 등한시 함. 대우 아예 안해준다고 보면 됨. 걍 노답. 연봉도 복지도 노답.",
62,바이오솔루션,2020.09.16,2.6,4.0,“워라밸이 보장되는회사”,연구소 분위기가 전체적으로 서로 존중하는 분위기. 팀에 따라 살짝 다를수도 있지만 대부분 정시퇴근 가능.,여느 중소기업의 일반적인 단점들을 갖고 있음. 낮은 급여와 인센티브. 체계 없는 업무.,
63,아이쓰리시스템,2021.10.27,2.9,1.0,“주말출근을 강요하는 상사”,식사는 무료로 제공해준다는게 장점인듯 단 석식은 8시반까지 근무할때만 무료,주말 출근. 야근을 당연시하는 업무지시. 토요일 출근 안한다하면 눈치줌. 그렇다고 주말에 일을 제대로 안함,
64,아이쓰리시스템,2022.09.17,2.9,2.0,“평생 대전에서 살거면 적당히 다니긴 좋은 회사”,"아침 김밥챙겨준다 (늦게오면 못먹긴하지만..)
점심 먹을만 하다
저녁은 야근자에 한해 무료제공
연차사용 자유롭다(경영지원부서 등 일부 제외)
대전 시내권이라 동네는 좋다
사내 온라인 무료교육, 전화영어 교육 제공
중소기업치고 급여는 괜찮은 편이다
중간 관리자가 적어서 존버하면 진급은 쉬울것같다
사람들은 순한 편이다(부바부)
익명 신문고 제도가 있는데, 부조리는 잘 처리해주는것 같다","아침 청소/야외청소 한다(보상 없음)
당직제도가 있다(보상없음)
여름 휴가 따로 없다
상여도 없다(수익나면 준다고들음)
야근강요 있다(부서바이부서인데, 약간 그런문화잇음)
사택 제공 없다
포괄임금제이다
전문적인 커리어 향상에 도움이될것 같진 않다
(분야도 좁고, 업무가 단순하다)
일 안하는 인원에게 제제를 가해야하는데, 열심히 하는 사람을 쪼는게 있다
쓸모없는 장기근속자가 몇몇 보인다(고인물)",
65,아이쓰리시스템,2022.09.07,2.9,4.0,“더 없이 다니기 좋은 회사”,"1. 아침형 인간이 된다.
2. 저녁 식비를 줄일 수 있다.
3. 강한 인내심을 기를 수 있다.
4. 무념무상의 자신을 보게 된다.","1. 과속으로 저 세상을 볼 수 있다.
2. 명품을 사기에는 벅차다.
3. 소화불량이 올 수 있다.
4. 생각이 없어진다.",
66,아이쓰리시스템,2022.08.19,2.9,3.0,“다니기 무난”,법적으로 지킬건 지키는 회사 + 직원들 인성이 나쁘지 않음,"부바부지만 부서별로 업무강도 차이 심함
야근 많이합니다.",
67,아이쓰리시스템,2022.07.29,2.9,3.0,“연차만 자유로움”,연차사용이 자유로움 외출제도가있음 사내식당이 있음 야근하면 저녁줌,"외출내면 시간집계해서 순위매기고 부서장에게 근태관리랍시고 보냄
야근해야 바쁜줄 알음",
68,아이쓰리시스템,2022.07.27,2.9,3.0,“야근이 필요한 회사”,"휴일근무에 대한 왠만한 보상은 이루어지고
조식김밥
근무시 중석식 제공됨","야근하는 직원이 일을 더 열심히한다는 부서장의 인식이 근무평가에 반영되는 부분이 아쉽다
야근시간에 따라 근태우수상도 주고있음",
69,아이쓰리시스템,2022.07.23,2.9,3.0,“야근시간으로 인사평가.”,기업규모치고는 연봉은 적지않다. 연구중심회사여서 자유로움이 있다.,포괄임금제를 적용한다. 야근시간으로 인사평가를 한다. 복지에 인색하다.,
70,아이쓰리시스템,2022.07.19,2.9,3.0,“대전에서 중소기업 규모로는 괜찮은 회사”,"-제작하는 제품특성상 망할일은 없는 회사
-대전지역에서는 다닐만한 회사","부바부여서 일이 많은부서는 야근을 많이함
주말출근이 많음 (스케줄에 주말출근이 짜여서 나옴)",
71,아이쓰리시스템,2022.07.07,2.9,3.0,“그냥 좋지도 나쁘지도 않은 회사”,식사제공. 프리한 분위기. 그외 방산이 안정적이라는점?,"업무 쏠림현상 심함. 연봉 상승률 매우 낮음.
야근 및 주말출근이 당연시 됨.",
72,아이쓰리시스템,2022.06.18,2.9,5.0,“웃으면서 다닐수 있다. ”,다니면서 크게 스트레스받을 일이 없다. 자기걸 잘 하면 된다.,위치가 대전이다. 대전에서 너무 구석진데는 아니라서 다행.,
73,아이쓰리시스템,2022.05.27,2.9,3.0,“튼튼한 방산업체”,이론적이나 실무적으로 배우는게 많다. 최신 기술에 대해 끊임없이 찾고 신기술을 배울 수 있다,안정적인 급여자급에 안주하여 게으른 사람이 많다. 연구소에 대한 지원은 많이 부족하다,
74,아이쓰리시스템,2022.05.17,2.9,3.0,“워라밸은 보장되는 회사”,퇴근시간은 보장된다 급여는 그냥 뭐... 그저 그렇다.,출근시간이 빠르다. 8시반까지 출근 회사와 내가 성장하고 있는가에 의문,
75,아이쓰리시스템,2022.05.17,2.9,2.0,“좋은듯? 안좋은 듯?”,"좋은것은 좋은 무리에 속했을 때.

안좋은 것은 안좋은 무리에 속했을 때.

근데,

객관적으로 안좋은 무리에 속한 직원들이
회사의 미래를 걱정해서 불라불라 말을 하는 것일텐데
그게 밉상으로 보였으려나?

좋은 무리에 있으면
좋을 수는 있으나 그게 좋은건가?","인재를 못알아봄.

근묵자흑
근주자적

능력없어도 줄잘서면 회사망하는 줄 모르고
승진함",
76,아이쓰리시스템,2022.05.16,2.9,3.0,“괜찮은 중소기업”,단체연차가 정해져있어서 쉴 때 눈치 안보고 쉴 수 있음,케바케이지만 경력을 살리기가 쉽지않고 이직도 마찬가지임,
77,아이쓰리시스템,2022.05.05,2.9,3.0,“주기적으로 현타옴”,중소기업으로써 나라에서 주는 혜택으로 교통비나 소득세감면 등,서로 업무를 미루고 열심히해도 누구하나 인정해주지않는다,
78,아이쓰리시스템,2022.05.04,2.9,3.0,“괜찮은 중소기업”,"중소기업 치고 워라벨 괜찮음
연차 눈치 잘 안보고 가능","사업비즈니스는 성장성이 있으나 아직까진 빛을 못보는 회사
낮은 임금과 상승분",커리어 성장에 한계에 부딪힘솨 낮은 임금및 상승분...
79,아이쓰리시스템,2022.04.18,2.9,2.0,“딱 경력인정받고 이직하기 좋은회사”,"대기업 엔지니어 경력직 모을때 인정받아줌
그러나 실체는 없는 기술
놀고먹기좋음 비비기만 잘하면 진급 잘됨
회사에 늦게까지 있으면 진급 잘됨
일찍출근하면 상장하고 돈도 줌","구시대 잔여물이 많음
범죄자 많음
임원진이 옛날사람.
회사 출근 일찍하는거로 인사평가함
일 잘하면 일 더시킴
못하면 안시킴 90프로가 놀고 먹음",
80,아이쓰리시스템,2022.04.09,2.9,2.0,“진급이 노답”,연차사용 자유로움. 당일통보 가능. 이외엔 잘 모르겠음.,"8:30 출근. 18:00 이후 퇴근.
야근 많고 보상 없음.
상여금 ..? 노답ㅋ",
81,아이쓰리시스템,2022.04.09,2.9,3.0,“성장에 무뎌진 회사”,"사람간의 관계는 나쁘지않음
추가적인 장점은 그다지 생각나지않음","회사의 성장에 따른 경영 개선이 되지않음
오너와 경영진의 전문 경영의식 부족과 한계
그리고 그러한 것을 모르는 점",
82,아이쓰리시스템,2022.03.28,2.9,2.0,“그냥저냥 뇌빼고 다닐만함”,"생각없이 일할수있음 구내식당 있음
월급 안밀리고 나옴 끝","연봉인상 거의 없음
경력 쌓기 불가능
경영진 마인드 ㅆㅎㅌㅊ",
