종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
케이씨,2022.03.14,4.1,5.0,“직원들이 다니기좋은 회사”,성과급 많이 주고 자판기 음료 무료에 복지가 잘되어있음 밥잘나옴,시골에 있어서 회식하면 대리비 오짐.. 주변에 아무것도없음..,
케이씨,2022.03.08,4.1,4.0,“직원 복지에 신경쓰면. 워라벨이 보장됨 ”,워라벨. 조직적으로 다양한 시도를 하고 있음 인사적인 부분에 많은 신경을 쓰는것으로 보임 반도체 경험을 쌓을수 있음,이슈 발생에서 좀 더 전문가가 많이 필요해 보임. 중견기업에서는 다소 아쉬운 연봉.,
케이씨,2022.03.08,4.1,4.0,“한줄평으로 요약하긴 어렵네요”,"장점은 개인 커리어개발에 좋고, 급여나 복리후생도 나쁘지 않음","업무강도가 낮은 편은 아닌 것 같다. 좋게 보면 커리어 개발에 좋다, 수직적 기업 문화도 있다",
케이씨,2022.02.17,4.1,3.0,“안정적으로 다니기 좋은회사”,밥 잘나오고 통근버스 있고 나름 워라밸이 지켜지는 기업이라고 생각,연봉이 낮은것이 단점이라고 뽑을 수 있을것 같습니다..,
케이씨,2022.02.10,4.1,5.0,"“회사, 일, 문화, 환경 등 현재는 최고가 아니지만 성장 가능성 높은 곳”","-자율적 조직문화
-연봉 수준은 반도체 업계에서는 조금 낮지만, 인센티브 합하면 높음(일반 중소기업 수준 보다 당연 높고, 타 인더스트리 보다 높음)
-업력이 오래되고 안정적인 회사
-새로운 시도를 지지","- 안정적인 것이 장점이지만, 아직 변화 되어야 할 것이 많은 회사. 최근 새로운 변화 트라이 하는 중으로 과도기 상태
-딱히 없음(최고 회사와의 비교는 의미 없을 것 같음)",
케이씨,2022.02.10,4.1,5.0,“숨어있는 꿀회사”,"1. 팀원 능력 좋음
2. 사내문화 계속 발전하는거 보임
3. 커리어 발전 좋음
4. 워라밸 좋음
5. 스트레스 받게하는 사람 없음

다녀본 회사중엔 제일 좋은듯",주식사려는데 다들 오너리스크얘기해서 들어가기 조금 주저하게되는게 있음,
케이씨,2022.01.21,4.1,5.0,“안성의 구글로 좋은회사입니다.”,기본 연봉 복지부터 성과금도 빵빵한 kc 본사는 자부할수있어요,여름휴가 별도로 없는부분이 상당히 아쉽습니다. 장기 근로시 포상휴가는 있습니다.,
케이씨,2021.12.04,4.1,3.0,“나쁘지만은 않음”,"이해, 소통, 상호 존중
업무체계의 단순함과 빠른 결정","그들만의 리그
그들만의 결정
그들만의 정치
그들만의 프로세스",
케이씨,2021.11.11,4.1,3.0,“조직문화를 바꿔가려고 노력하는 회사”,"조직문화를 바꾸려는 다양한 노력과 시도, 음료 자유롭게 먹을 수 있음, 직원 교육에 아끼지 않는 지원, 중견기업 치고 꽤 인정할만한 체계, 무료 휴양시설, 회사에 돈이 많다","너무 급하고 잦은 조직 변경, 계열사 간 인력 빼돌리기, 반말을 당연시 쓰는 분위기(제발 존댓말을 쓰세요 누구에게든), 포괄임금제",
케이씨,2021.10.22,4.1,4.0,“연봉도 준수하며 조직문화에 신경 많이 씀”,"성과금이 섭섭치않게 나온다, 칼퇴 독려, 준수한 연봉, 기업문화에 신경씀","조직변경이 많음, 부서간 업무 소통이 없음, 필요 없는곳에 인원 충원 많이하고 정작 사람 죽어나가는 곳엔 인원 충원 안시켜줌",
케이씨,2021.10.04,4.1,4.0,“워라밸 보장”,"좋은 사내문화
워라밸
식사
젠틀한 임직원
기타 등등 많습니다.","경기도 외곽의 입지
출퇴근 복잡
이외에는 딱히 없네요.",
케이씨,2021.09.26,4.1,5.0,“미래가 기대되는 회사”,끊임없이 좋은 회사를 만들기 위한 여러가지의 노력이 보임,역피라미드구조의 인원구조로 실무업무 수행할 인원보다 장이 더 많은 느낌,
케이씨,2021.08.22,4.1,5.0,“발전 가능성이 많은 회사”,"음료 자판기를 무료로 이용할 수 있습니다. 삼시세끼 회사에서 먹을 수 있어 따로 돈 쓸일이 없습니다.
기숙사 보조금 있어 자취할때 지원금이 있습니다.",안성이라는 위치 빼곤 사업분야도 좋고 현재는 만족하며 다니고 있어 아직까지는 모르겠습니다.,
케이씨,2021.06.26,4.1,5.0,“발전하는회사”,"급여 괜찮은편
복리후생 훌륭
교육의 기회가 많음
발전하고자 하면 자신의 역량을 무궁무진하게 키울수 있음",딱히 아직까진 잘 모르겠음 사람도 좋고 사업분야도 좋고 일도좋고 야근 잘 안하고,
케이씨,2021.05.24,4.1,5.0,“이만한 회사 없다”,"직원 생각 잘해줌
성과급 많이줌
필요한거 잘챙겨줌 대우 짱","그닥 아직은 없는거같다 잘 못느끼겠음
난 정말 만족하면서 다니는중",
케이씨,2021.04.23,4.1,4.0,"“워라밸 보장, 적당한 급여”",직원을 생각하는 복지만큼은 최고인 회사(현장직은 부분적 제외),"현장직복지에 대한 관심이 적으며, 일부 경영진의 경우 언행이 거침",
케이씨,2021.04.11,4.1,4.0,“조금씩이지만 발전하는 회사”,"개인차 있을 수 있지만. 객관적으로 보려 노력하면
업계 평균 수준 급여. 복지는 상급(특히 휴양시설). 사내 기업문화도 개선하려고 하는 의지가 있음. 재무구조도 탄탄하여 오래 지속될 수 있음","개인 성장의 기회는 제공하나. 스스로가 찾아야함. 타이트한 인원관리로 업무와 자기계발 그리 쉽지않음. 본인 하기 나름이라지만. 체계적인 프로그램 부재.
신입을 거의 채용하지 않는것만 봐도 알 수 있음.",
케이씨,2021.04.07,4.1,4.0,“안정적이고 복지가 좋은 회사”,"여러가지 복지제도가 잘 되어있음. (특히 휴양시설)
가족경조회도 잘 되어있음.",안성에 위치하고 교통이 불편해서 자차가 없으면 이동하는데 어려움이 있음.,
케이씨,2021.03.06,4.1,3.0,“복리후생 훌륭”,"-. 다양한 복리후생
: 기숙사 & 보조금, 휴양시설, 카페 등","-. 본사위치
: 경기도라고 볼 수없는 입지
-. 보수적인 경영활동
: 미래지향적이지 않고, 재무건정성에 치중",
케이씨,2021.02.26,4.1,4.0,“자랑스러운 회사”,"직원을 먼저 생각해줌
최고경영자의 마인드 존경
계속 성장할 회사","큰 단점은 없지만 그래도 써야한다면
현사업보다 미래사업을 위한 실행이 조금 더딤",
케이씨,2021.02.24,4.1,4.0,"“괜찮은 복지정책,일과 삶의 균형”","무료 휴양시설,급여수준 평균이상,워라벨 어느 정도 보장","임원진들이 거의 대부분 대기업 부장 출신
부서별 업무 강도 상이",
케이씨,2021.01.02,4.1,4.0,“워라밸 및 복지 괜찮음”,식당 및 기숙사 제공으로 회사복지는 좋음 리조트이용권 사용가능,인턴들도 많은 업무를 담당하고있어 책임감이없고 협력사위주로 돌아감,
케이씨,2020.11.14,4.1,4.0,“좋은 회사 이만한 회사 드물다”,"중간이상은 한다
대기업보단 별로지만 또 이만한 회사도 없다","안성
부서마다 만족도가 다를수 있다
사실상 성과금 아니면 연봉이 작을 수 있다",
비디아이,2021.04.01,1.7,1.0,“별로 기대가없는 회사”,좋은사람들.. 그것뿐이었습니다. 그외 장점... 점심줍니다.,"야근, 꼰대천국, 역피라미드 구조의 수직상하관계, 발전이 없다... 상장했는데 차라리 안하느니 못함. 체계라는게 단 1도없음. 심지어는 모든 결재를 수기로함.",대우가 없고 꼰대가 너무 많습니다. 선배다운사람이 없고... 나중에 저런모습으로 된다고 생각하니 아찔함
비디아이,2021.03.26,1.7,1.0,“워라밸이 보장되는 회사”,일하는사람만함 하고 안하고는 본인의 마음가짐에따라 워라밸이 보장됨,역피라미드구조로 인하여 소통의 창구가 없음 전무들은 답이없음,
비디아이,2020.12.21,1.7,3.0,“일 배우기는 좋음”,"일을 배우는 것이 가장 큰 장점입니다. 사업관리, 구매, 설계 모두 다 경험할 수 있어요",워라벨음 현저히 떨어집니다. 워크벨은 가능합니다....,
맥스로텍,2021.07.21,3.3,3.0,“지금은 사라질 것 같은 과거의 영광 ”,"1. 나쁘지 않은 상과급의 존재가 괜찮았음
2. 성장할 기회가 존재","1. 현재 부도의 발생으로 회사가 운영되기 어려움
2. 경영진 복지의 부족","1. 부도의 발생으로 이직이 필수적인 상황
2. 성장의 기회 마련"
맥스로텍,2021.07.02,3.3,3.0,“대구에서 괜찮았지만 부도”,"신기술 개발에 대한 소소한 재미
사람들이 좋음
성과금있음","경영 문제로 인한 부도
본사와의 소통 부재
복지의 부재",
맥스로텍,2021.05.07,3.3,4.0,“나름 괜찮은 중소기업에 속했지만.....부도”,"근무환경이 열악하지만, 배울 것은 많았다...
편하게 다닐수 있었다...","재정난으로 임금체불......
낮은 연봉인상률과 성과평가가 아쉽다....",
맥스로텍,2021.04.05,3.3,3.0,“대구권에서 적당히 다닐만한 곳”,"대구권 내 평균 연봉,
사내 분위기는 단합이 되며, 편안한 분위기","회사의 경영진의 잦은 변경과 불안함

매출이 줄어들어 회사의 안정성이 떨어짐",
뉴로스,2022.07.29,2.9,3.0,“워라밸만 괜찮음”,"출퇴근, 야근 압박없음
업무 알아서 처리하면 조용한 곳","장점빼고 모두다 단점임
배가 산으로 가는 경영
본업에 관심없음",
뉴로스,2022.04.17,2.9,3.0,“워라벨”,"워라벨이 장점인 곳이다.
연차사용이 비교적 좋은 편이다.","워라벨만 보면 좋은회사지만
그외 모든것들이 단점이라고 보면된다.
특히 급여, 복지, 꼰머마인드 삼위일체가 있다.",
뉴로스,2022.04.01,2.9,4.0,“워라밸은 공무원 그 이상”,"야근,특근 강요 없음. 직원간 트러블이 적고 업무강도 낮음
퇴근이 자유롭다","역피라미드구조 과장,차장급이 너무많음
월급여가 낮음..",
뉴로스,2022.03.23,2.9,4.0,“워라벨이 보장되는 회사”,워라벨이 좋아서 퇴근 후에 개인 시간을 가질 수 있다.,"복지가 없다.
연봉이 적은 편이라 퇴근 후에 돈을 아껴야한다",
뉴로스,2022.03.23,2.9,3.0,“출퇴근 좋은회사”,"출퇴근 보장되고 관리자 터치 적습니다
연차도 자유입니다","급여가 너무적고 인상율도 낮습니다
부서마다 업무강도가 확연히 다릅니다",
뉴로스,2022.02.15,2.9,2.0,“워라벨뿐인 회사”,"1.칼퇴근 야근없음
2.생산직군 주로20~30대초반
3.연차 마음대로 사용가능","1.급여적음
2.중간관리자 꼰대마인드
3.상여금보너스x",
뉴로스,2021.11.11,2.9,3.0,“워라벨은 공무원 부럽지 않은회사”,제목에도 있지만 워라벨은 공무원보다 좋다 징검다리는 무조건 쉬고 연차도 맘대로 쓴다 연차가 부족할 지경,"이게 제일 문제인데 최근데 경영진이 투자를 잘못해서 회사가 상폐위기다 그거때문에 있던 복지 다 없어지고 심지어 명절선물도 안나왔다
이거 말고 윗사람이 무능하고 답답하다는거 이거말곤 없는거 같다",
뉴로스,2021.08.14,2.9,2.0,“워라벨은 보장됨”,"워라벨은 무조건 보장되는회사
그 이외에 어떤게 장점인지 모르겠다...",급여가 너무너무작다 해도해도해도 너무 작다 동종업계대비 제일 작을 것 같다,
뉴로스,2021.07.09,2.9,2.0,“워라벨 가능 그외 없음”,"1. 휴가 자유로움
2. 워라벨 실현가능
3. 일하고싶으면 일 많이 할수있고
하기싫음 안해도 티안남","1. 다들 사람들에게 관심이 많음(말많음)
2. 경영리스크, 잦은 조직개편, 신사업
3. 제대로 일하는 사람이 적음","개개인이 열심히 하려해도 사기가 많이 꺽임
그냥 물흐르듯이 다닐거면 추천"
뉴로스,2021.04.08,2.9,3.0,“도전적인 중소기업”,"워라벨 좋음. 부바부지만 대부분 칼퇴.
사내분위기도 좋은게 좋은거지~ 이런 분위기?","급여 적음. 상여금 없음. 기타복지없음.
자기 일만 할 줄 알고 직원들의 수명이 길지 않음.",
영풍정밀,2021.08.30,2.8,1.0,“워라밸 1도없는회사”,좋은점이라... 글쎄 나중에라도 생각나면 적어봄 진짜 답이없다,꼰대팀장에 퇴근 못하게 하고 퇴근 5분전에 일던지고 당장 해결하고 퇴근하라함 주말출근도 당연,
영풍정밀,2022.08.28,2.8,3.0,“일 하나만은 빡세게 배울 수 있는 회사”,"1.연말 성과급이 최고!!
2. 일은 빡세게 배울 수 있어서 어디든 가도 적응 가능함.","1. 딱딱한 조직문화
2. 저글링
3. 사원 보다 많은 임원진",
영풍정밀,2022.06.16,2.8,2.0,“반강제적 야근”,"10년 이상근무하면 환경이 편해지는 환경 메인업무들은 대리들이 대부분함
밥은 맛있음","사원 대리급들 주3~4일 야근
휴가 쓴다하면 쓰지말라는 식으로 말하며 구체적사유를말해야함",
영풍정밀,2022.06.13,2.8,2.0,“워라밸이 없는 회사”,"장기근무, 급여가 좋다, 회사에서 사택이 제공된다 등등","이것저것 잡무, 야근눈치, 보수적인 회사문화, 군대식경영",
영풍정밀,2022.05.03,2.8,3.0,“보수적인 분위기의 회사”,"기숙사 및 사택을 제공해준다
회사 분위기만 맞으면 오래 다닐 수 있다","기본급이 낮다
보수적인 분위기
사양산업이다
저글링
업무 외적인걸 많이 시킨다",
영풍정밀,2022.04.24,2.8,2.0,“뭔가 애매함”,"기숙사, 사택지원, 유치원비 지원, 식당 운영 등등...","기본금이 매우 낮음, 성과금 포함한 금액인데도 연봉이 매우 낮음",
영풍정밀,2022.04.07,2.8,2.0,“워라벨이 보장되는 회사임”,"체계적으로 배울수 있음
여기서 일 배우면 어디든 적응 가능할듯.","저글링을 시키는 것이 제일 힘들었음
매년 바뀌는 인사의 시스템",
영풍정밀,2022.04.03,2.8,2.0,“배울 건 많은 회사”,영풍사관학교라 불릴만큼 기술 영업에 관련된 모든 일을 배울 수 있음,"겉만 대기업, 업무와 관련 없는 일을 시킨다거나 하는 중소기업 특유의 문화가 대부분",
영풍정밀,2022.03.28,2.8,4.0,“나쁘지 않음”,"직원 복지...?
사회 초년생들에겐 기숙사가, 결혼하면 사택 제공 등.
기숙사나 사택이 오래된 주공 아파트나 원룸 빌라가 아니고, 역세권 신축 브랜드 아파트라 좋음.","처음에 금연 캠페인으로 시작했던 저글링이 갑자기 부각되어 매년 실력을 늘려야 한다는 게 조금 아쉽...ㅋㅋ
그나마 다행인게 인사에는 영향이 없다는 것...
근데 희한하게 하다보니 가끔 재밌긴 함...ㅋㅋ",
영풍정밀,2022.03.14,2.8,2.0,“일이 너무 많고 사원대비 임원이 너무 많음.”,"좋은 사람들이 많다.
주어진 업무를 다하면 칼퇴 가능하다.","일이 너무 많다.
사내 정치 심하다.
업무량이 너무 너무 너무 많다.
줄을 잘 타야한다.
발전이 없다.
매년 저글링 심사를 한다.
기본급이 너무 낮다.",
영풍정밀,2022.03.10,2.8,3.0,“으레 그렇듯 부서바이부서”,"본사라서 어느정도 복지 이용이 용이한 듯
젊은 사람들끼리 분위기는 나쁘지 않음
정시 퇴근 시 5시 30분 집에 감
논현","경영진.. 누구는 너무 열정적이고 누구는 이해할 수 없는...
저글링
연차 간섭이 심하다",
영풍정밀,2022.03.09,2.8,2.0,“부바부? 워라벨 없음 ”,"월급은 잘나온다던데...
기숙사가 좋음
안짤리는거 같음","야근많음... 칼퇴하는사람 1도 없지.
저글링은 아직도 하는거 같더라.",
영풍정밀,2022.02.21,2.8,5.0,“나름워라벨좋은듯”,"멀리살아도 아파트를 제공해줘서 좋은
밥이 아주 맛있어요",차가없으면 퇴근할때 조금불편할수도 통근버스만 탄다면 괜춘,
영풍정밀,2022.02.17,2.8,3.0,“조금씩 나아지고 있지만 아직 많이 바뀌어야 할 회사”,"전반적으로 사람좋은 동료들
매년 회사실적에 따라 다르지만 일정기간 이상 근무하면 연말 성과급 규모가 큼","복지, 근무환경 등이 점차 긍정적인 방향으로 변화하고 있으나 아직은 부족함.
많이 보수적인 문화",
영풍정밀,2022.02.17,2.8,4.0,“안정성있고 좋은 복지제도가 있는 회사”,"1. 연2프로의 저렴한 회사대출제도로 전세자금과 아파트분양계약금 마련할 수 있었음. 요새 대출어려운데 도움이 많이됨.
2. 애기 낳았더니 출산축하금 200만원 받아서 와이프 산후조리원비에 보탬.
3. 좋은 팀장, 팀원들이 있어서 서로 의지하며 오랜기간 근무하고있는 것 같음.
4. 회사에서 하는 이벤트? 행사?에 참여하면 백화점상품권도 쉽게 득템함.
5. 논현역 바로앞에 있어서 비와도 걱정없음.
6. 매년 성과급이 꼬박꼬박나옴
7. 회사 이익도 좋고 채무가 없어서 안망함. 회사 안정성만큼은 최고임.","1. 몇몇 으른들의 옛날얘기에 장단맞춰주기
2. 임원이 너무 많음
3. 신입사원들한테도 적용될 수 있는 복지제도가 부족한듯
4. 본사 주차장 협소해서 개인차량은 이용어려움",
영풍정밀,2022.02.17,2.8,4.0,“근무여건이 점점 좋아지고 있는 회사임”,재무구조가 탄탄해서 절대 망할 일 없는 회사. 규모는 중소기업이지만 대기업 수준의 급여 조건,점점 개선되고는 있지만 아직 다소 보수적인 사내 문화. 성장성과 역동성보다 안정성과 위험회피 성향의 경영 스타일임,
영풍정밀,2022.02.11,2.8,2.0,“워라벨x”,"회사 분위기가 좋음.
주말 2일은 거의 무조건 쉼.
식당 밥이 맛있음.
기숙사 제공.
통근버스 운영함.","특정부서만 엄청 힘들음.
주간에는 무조건적인 잔업으로 인해 워라벨을 찾기 힘듬.
경영진이 자꾸 이상한거 시킴",
영풍정밀,2022.02.09,2.8,3.0,“워라벨이 보장되는 회사”,"워라벨은 괜찮은편..이지만 사실 매년 달라서 정확하지 않음
서울 경기권 근무지 장점","낮은 급여, 미래가 보이지 않음, 부바부 심함, 인지도 낮음",
영풍정밀,2022.02.09,2.8,2.0,“워라밸 나쁘지 않음”,월급은 나쁘지 않게 주는거 같음. 야근도 예전보다는 많이 줄어서 워라밸도 나쁘지 않음,야근수당 없고 주말에 출근해도 돈 안줌. 쓰잘데기 없는 ACE 활동이니 저글링이니 이상한거 많이 시킴,
영풍정밀,2022.02.07,2.8,2.0,"“군대식문화,저글링,남녀차별,경영진위주”","빡세게 일하니 업무가 늘지않을수 없음
어느 회사에 이직해도 적응 가능","노답을 제시받고 그대로 수행해야 하는 사내문화
일을 위한 일을 만들고 경영진에게 잘보이기 바쁜 상사들
과거로 역행하는듯한 업무체계
저글링",
영풍정밀,2022.02.06,2.8,3.0,“꼰대 꼰대 군대”,"준수한연봉으로 먹고 사는데 지장은 없다.
복지수준 또한 준수한 편","꼰대 군림하는 회사

저글링만 죽어라 해야 되는 회사

답답한 마인드",
영풍정밀,2022.01.26,2.8,5.0,“망할일 없는 안정적인 회사”,"대기업보단 적지만 중소기업보단 많은 급여
대한민국 펌프업계에서 손가락안에 들어가는 회사
회사에 돈이 많아서 망할일이 없음
출퇴근버스,기숙사","업무외에 잡다한일이 너무 많음
잦은 야근
주먹구구식 일처리
아무것도 없는 복지
눈치줘서 절반도 못쓰는 연차",
영풍정밀,2022.01.13,2.8,3.0,“보수적인 ”,"1. 초년생의 급여대비 나쁘지 않음
2. 3끼 제공
3. 기숙사제공
4. 출퇴근버스
5. 학비지원","1. 꼰대가 많음
2. 부서간 협업은 글쎄
3. 보수적이라 연차도 눈치보는
4. 업무강도 부서마다 상이하지만 낮은강도는 아님
5. 퇴사가 많은 부서는 이유를 생각을 해볼까하네요",
영풍정밀,2022.01.05,2.8,3.0,“월급은 많다”,"월급 좋고 동료들이 좋음.
동종업계에선 그래도 유명한 편","사업이 확장될 것 같지않음.
업무 외 요구사항이 많음.",
영풍정밀,2021.12.30,2.8,3.0,“그래도 나아지는게 보임”,멘탈이 강화됨 그래도 먹고살게 해주는 회사니까 고맙다 해가갈수록 나아지는게 보이고 장기근무할수록 대우는 좋음,"90년대 회사운영방식, 꼰대문화절정 10년차이상 장기근무자들중 진상확률 80프로이상",
영풍정밀,2021.04.13,2.8,2.0,“근무환경은 나아지고 있지만 경영방식이 노답”,"중견 상위 대기업 하위 수준의 준수한 연봉
논현역 도보 10초 교통 좋음",저글링으로 대표되는 경영자의 기이한 발상에서 튀어나온 이상한 업무외활동,저글링 시키는걸로 대충 견적나오지만 인사평가라는 개념 자체가 없음
영풍정밀,2021.03.09,2.8,3.0,“힘든회사”,장점이라 말할게 딱히 급여부분 말고는 없는거 같습니다.,"군대식문화 까라면 까야됨
자기들 책임지기 싫어함 남탓많이함",
영풍정밀,2021.03.07,2.8,3.0,“워라밸 어디...?”,"함께 근무하는 사람들이 좋아요.
급여 성과 포함 나쁘지 않습니다","체계가 잡혀있지 않습니다.
워라밸 조정중이긴 하나 아직까진....
다들 아시는 저글링도 사라지지 않네요.",
영풍정밀,2020.11.21,2.8,5.0,"“재벌그룹에서 오는 안정감, 높은급여를 보장받는 탄탄한 회사”","영풍그룹이라 부채비율이 낮고 사업이 안정적임.
높은 급여와 상여(정기 100%, 특별상여 최대 500%)로 부족한 복지를 메꿈
본사는 식대가 나오고 공장은 사내식당. 공장밥이 맛있음.
자녀학자금 100%나오고 장기근속자에 대한 보상도 좋음.","몇몇 임원의 뻘짓이 심함.
공장은 야근이 기본인데 이에 대한 보상은 충분하지 않음.
저글링이나 ACE활동 등 업무 외 요구하는 바가 많아서 초반엔 스트레스받음.",
영풍정밀,2020.09.21,2.8,2.0,“월급만 많이줌”,월급 및 상여: 다른 중견기업들에 비해 돈은 많이주는편인듯,"극한의 워라벨 8시출근~8시퇴근이 기본인 회사 물론 일이생기면 전날에 미리말하고 퇴근할수있긴함
꼰대들이 장악함 군대보다 심한 수직구조",
윈팩,2022.08.24,2.2,1.0,“사람 갈아넣는 회사”,"일한만큼 급여를 받을수 있다.
쉬고 빠른 입사.
간단한 업무내용","주먹구구식 운영.
말이 안통하는 사람들.
많은 업무량.",
윈팩,2022.09.19,2.2,3.0,“워라벨 보장안되는 회사”,밥이 맛있음 사람들도 괜찮고 연구직으런 나쁘진 않은듯.,단점이라곤 외지에있어서 할께없음 출퇴근 이천에서 해야함,
윈팩,2022.08.01,2.2,1.0,“그냥다닐만한회사”,사람들이좋음 사람들이 착함 밥주큰 아주머니도 착함 근데 그거뿐,아무생각이없어짐 그래서 별생각이없음 돈벌고싶으면 오면됨,
윈팩,2022.07.28,2.2,1.0,“그다지 교대근무자들을 위한 복지는 없습니다”,"1.흡연장소가 많다
2.주차구역이 넉넉하다
3.누산을 무료 대여해준다","1.밥이 맛이없다
2.1년에 2회 호봉승급 시험을 보며 시험 못보면 호봉이 안올라간다 시험 스트레스임
3.성과금이 있다고 하는데 정해진건 아니고 회사실적에 따라주기 때문에 매우 매우 유동적이다
4.변화를 두려워 해서 건의사항은 거의 안들어주며
돈드는 건의사항은 특히 안들어준다",
윈팩,2022.07.19,2.2,1.0,“꼰대많음”,"30자나 쓰기엔 정말 장점이 없음..
밥줌.. 기숙사..있음..
통근버스있음~","밥주는데 맛도 없음
기숙사 주는데 더러움
침대 매트리스 없이 2층 침대 설치해줬다고 그게 복지임
상여금이 10만원인 회사
주변에 할 거 없음 완전 시골
뒤지게 바쁘면 사람 갈면서 일하고
일 없으면 조기퇴근시킴
오래 다니면 그냥 다 진급이라
죄다 대리 과장임 일은 못함
사람만 뽑으면 다 해결되는 줄 아는 회사
제대로 일하는 사람이 없는 회사",
윈팩,2022.07.16,2.2,1.0,“아무것도 없는회사”,"1. 카페보유(카페음료 가격통일 3천원)
2. 가끔씩 조시퇴근(물량 없으면 가끔 시켜줌 요즘은 없지만)","1.꼰대 많음(고인물)
2.그런 꼰대때문에 신입도 많음(1년 넘기는 사람 별로 없음)
3.복지 변경시 공지 없음 상황따라 복지변경
4.상여음 꼴랑10% or10~30만원 주면서 생생엄청남
5.그 상여 마저도 안줄때 있음
6.업무에 혼잡함(다른부서일 주워다 하고 그냥하고
하다가 잘되면 담당부서가 잘한거 못하면 니가못한거)
7.평가기준 없음, 암말잘해도 평가 되지 못함
그저 고인물이 잘한다면 못하는 놈도 잘해
8.주차공간 협소, 계획성 없는 증축
9.1년에 2~3번 가량 정전 발생 정전발생하면 퇴근 늦어짐
10. 정시 퇴근 없음, 쓰잘대기 없는 대화로 인한 퇴근 지연
11. 팀내 불화 있을시 팀급 보단 인사과 와 상담받으시길
(팀장들은 흐지부지 넘길려고만함)",
윈팩,2022.07.11,2.2,2.0,“많은것이 바뀌어야하는 회사”,"사회생활을 하고 있다는 생각이 든다.
바닥부터 경험하며 클 수 있다","인력 관리 능력없음, 업무 조율 능력 없음(자기 하고 싶은 말만)",
윈팩,2022.07.08,2.2,4.0,“배울 것이 많고 전부 다 친절하심”,배울게 많지만 차근히 알려주시고 배려심도 깊으시고 친절 하신 분들이 대다수임,주변이 허허벌판이라서 놀 게 없음 버스도 잘 안다녀서 불편함,
